AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K04,LEFT,2,0,0,4.09601169903631e-08,-3.3470224890868603e-06,-0.11371417900942064,751.9731603425226
AMAC_K04,LEFT,2,0,1,1.2212944688967444e-07,-1.0400563640352858e-05,-0.10684700167330037,491.3090789824867
AMAC_K04,LEFT,2,0,2,9.342620285904336e-07,-8.00385844128571e-05,-0.11391750368657902,54.58971148804117
AMAC_K04,LEFT,2,0,3,1.0212782286633624e-06,-8.756300510607099e-05,-0.11443340990415424,55.20499725973192
AMAC_K04,LEFT,2,0,4,4.3620675324828694e-06,-0.00037314122460817636,-0.11454399510147358,61.4713401729641
AMAC_K04,LEFT,2,0,5,4.446296096840529e-06,-0.00038042291987583967,-0.11454483697428915,61.61252381652158
AMAC_K04,LEFT,2,0,6,5.257685022568702e-06,-0.00045012724932513517,-0.11528049756086194,61.69088026143329
AMAC_K04,LEFT,2,0,7,5.33283170702885e-06,-0.00045644612187915114,-0.11498567808880981,62.0429870077266
AMAC_K04,LEFT,2,0,8,9.535501624986223e-06,-0.0008176648267606887,-0.11607724671123176,60.861627330492055
AMAC_K04,LEFT,2,0,9,9.624147800210587e-06,-0.0008248401262758093,-0.1179747157107483,61.64520555859608
AMAC_K04,LEFT,2,0,10,1.0444238939300864e-05,-0.0008954890814383037,-0.11808933066231914,61.789484859534
AMAC_K04,LEFT,2,0,11,1.0516953722196841e-05,-0.0009011814986483198,-0.11908522146907877,62.582302604238414
AMAC_K04,LEFT,2,0,12,1.3867334733797204e-05,-0.001187972034767331,-0.12102888827002127,63.918541976201155
AMAC_K04,LEFT,2,0,13,1.3981629428918736e-05,-0.0011981817747144879,-0.11920734158724802,62.55785289589918
AMAC_K04,LEFT,2,0,14,1.4845878983487667e-05,-0.001272535085591532,-0.12118658388987402,62.56957818775954
AMAC_K04,LEFT,2,0,15,1.492597444290126e-05,-0.0012799039175413474,-0.12052280535656888,62.049282409990276
AMAC_K04,LEFT,2,1,0,1.7115021934121098e-08,-0.00015033888868037137,150.56513274859705,22877.349996607285
AMAC_K04,LEFT,2,1,1,5.3318717119875353e-08,-1.0072837894337692e-05,-0.10922480297973064,744.0161338079425
AMAC_K04,LEFT,2,1,2,1.35408692050273e-07,-2.4628899441079127e-05,-0.14796442222109984,20037.69091050223
AMAC_K04,LEFT,2,1,3,4.409489137777263e-07,-8.431781051417238e-05,-0.11090457638536914,49.02179738090391
AMAC_K04,LEFT,2,1,4,1.8722532772165834e-06,-0.00035720822315131153,-0.10421248549511017,101.14978386888917
AMAC_K04,LEFT,2,1,5,1.91030846981023e-06,-0.0003643378729192204,-0.1073852146637613,102.92017922245208
AMAC_K04,LEFT,2,1,6,2.2582189716072097e-06,-0.00043052358404066326,-0.10369214913826573,53.524125118294215
AMAC_K04,LEFT,2,1,7,2.2934691206146994e-06,-0.0004372274698927925,-0.10043123568103801,50.36290067970001
AMAC_K04,LEFT,2,1,8,4.086649454254761e-06,-0.0007787214666219689,-0.11435580226770943,61.656264739851245
AMAC_K04,LEFT,2,1,9,4.116975105856332e-06,-0.0007842675107543115,-0.11496375208188085,62.429746726754615
