AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_L01,LEFT,3,1,3,4.64687812840447e-07,-7.716612141563998e-05,-0.10951717203067383,47.54860249005028
AMAC_L01,LEFT,3,1,4,1.979690349623185e-06,-0.0003280202112046811,-0.10295486983443689,49.63921066446001
AMAC_L01,LEFT,3,1,5,2.02641418440701e-06,-0.0003357518504840624,-0.11081930661541455,57.49216550174108
AMAC_L01,LEFT,3,1,6,2.431513327524934e-06,-0.00040169902498291465,-0.17554681233794495,121.8815902045216
AMAC_L01,LEFT,3,1,7,2.4810588742494596e-06,-0.0004099684586579623,-0.18236549847289923,123.7642955714313
AMAC_L01,LEFT,3,1,8,4.380750739433825e-06,-0.0007258165855785412,-0.11575854030891246,60.959648656140565
AMAC_L01,LEFT,3,1,9,4.412108322793101e-06,-0.0007308696409594731,-0.11349520231043059,60.26716624441781
AMAC_L01,LEFT,3,1,10,4.787066678964427e-06,-0.0007929619889778127,-0.11698175493539216,62.215621115940976
AMAC_L01,LEFT,3,1,11,4.819168210136023e-06,-0.0007980444687357378,-0.1163117921231555,62.18612745921944
AMAC_L01,LEFT,3,1,12,6.351595600239856e-06,-0.0010521428357080785,-0.11904901030817942,63.53789239818124
AMAC_L01,LEFT,3,1,13,6.381582778480331e-06,-0.0010570530383807767,-0.11920680215281955,64.23238290662896
AMAC_L01,LEFT,3,1,14,6.7187518009638545e-06,-0.00111309622333062,-0.12028216521742212,65.72756078029288
AMAC_L01,LEFT,3,1,15,6.771879052186391e-06,-0.0011218251448495385,-0.11968908024028321,64.99358159482816
AMAC_L01,LEFT,3,2,0,3.045445865781372e-08,-2.766536353644319e-06,-0.10504976296377289,562.2588493753701
AMAC_L01,LEFT,3,2,1,9.116800107846015e-08,-8.961131240127948e-06,-0.10774799956280609,720.6674401256305
AMAC_L01,LEFT,3,2,2,7.209915626039939e-07,-7.198175389390709e-05,-0.11356752873179324,100.1248611503409
AMAC_L01,LEFT,3,2,3,7.920421772112754e-07,-7.910560560073401e-05,-0.1132426945409352,52.08911636460976
AMAC_L01,LEFT,3,2,4,3.3865271017724327e-06,-0.0003375785524722745,-0.11728304949307408,61.77261155835558
AMAC_L01,LEFT,3,2,5,3.45068933873852e-06,-0.0003439300916369659,-0.11719896725492183,61.963713644651804
AMAC_L01,LEFT,3,2,6,4.0713816783383705e-06,-0.0004055382564702602,-0.11762694998467851,62.763851970118694
AMAC_L01,LEFT,3,2,7,4.143828044123323e-06,-0.0004128204760947447,-0.11787422054146489,62.79287334551727
